2013-05-12 23:12:08,361 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2013-05-12 23:12:08,361 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 23:12:08,361 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-05-12 23:12:15,038 [Worker-21] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\public\workspace\fhbay-beans
2013-05-12 23:12:15,038 [Worker-21] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B -s D:\Users\Florian\.m2\settings.xml install jboss-as:deploy
2013-05-12 23:12:23,093 [Worker-16] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\public\workspace\fhbay-beans-client
2013-05-12 23:12:23,093 [Worker-16] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B -s D:\Users\Florian\.m2\settings.xml -q exec:java
2013-05-12 23:14:56,722 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 23:14:56,728 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2013-05-12 23:14:56,730 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 23:14:56,733 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-05-12 23:15:03,151 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 23:15:03,154 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2013-05-12 23:15:03,155 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 23:15:03,157 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-05-12 23:15:27,040 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 23:15:27,044 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2013-05-12 23:15:27,046 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 23:15:27,049 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-05-12 23:16:04,167 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 23:16:04,172 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2013-05-12 23:16:04,172 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 23:16:04,177 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-05-12 23:16:20,977 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 23:16:20,982 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2013-05-12 23:16:20,982 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 23:16:20,987 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-05-12 23:16:25,842 [Worker-19] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\public\workspace\fhbay-beans-client
2013-05-12 23:16:25,842 [Worker-19] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B -s D:\Users\Florian\.m2\settings.xml -q exec:java
2013-05-12 23:16:59,733 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 23:16:59,738 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2013-05-12 23:16:59,738 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 23:16:59,738 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
